Team,Player,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
Anna Maria,"Paulhus,Madison",33.0,7.0,17.0,41.18,2.0,3.0,66.67,3.0,4.0,75.0,2,4,6,0.0,2.0,0.0,2,1,19.0
Regis (MA),"Perdicho, Jesmari",0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0,0,0,0.0,0.0,0.0,0,0,0.0
Salem St.,"Perez,Jarielis",5.0,1.0,3.0,33.33,0.0,1.0,0.0,1.0,2.0,50.0,0,0,0,0.0,0.0,0.0,2,0,3.0
Regis (MA),"Perry, Jillian",33.0,1.0,9.0,11.11,0.0,5.0,0.0,3.0,5.0,60.0,3,6,9,2.0,4.0,0.0,1,3,5.0
Rivier,"Perry,Sydney",15.0,4.0,7.0,57.14,0.0,0.0,,2.0,2.0,100.0,0,2,2,1.0,1.0,1.0,2,2,10.0
Salem St.,"Phillips,Haley",3.0,1.0,1.0,100.0,0.0,0.0,,0.0,0.0,,1,0,1,0.0,0.0,0.0,0,0,2.0
Elms,Phonia Guerrier,5.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,0,1,1,0.0,0.0,0.0,1,0,0.0
Elms,Piper Graham,122.0,12.0,48.0,25.0,7.0,23.0,30.43,4.0,7.0,57.14,2,9,11,6.0,8.0,0.0,11,9,35.0
Regis (MA),"Pollini, Emma",17.0,1.0,4.0,25.0,1.0,2.0,50.0,3.0,4.0,75.0,1,1,2,1.0,1.0,0.0,1,2,6.0
Regis (MA),"Pollini, Sophia",6.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0,1,1,0.0,0.0,0.0,1,0,0.0
Elms,Rahmia Johnston,217.0,14.0,67.0,20.9,5.0,27.0,18.52,31.0,45.0,68.89,6,37,43,18.0,12.0,2.0,26,14,64.0
St. Joseph's (ME),"Ramsdell,Grace",23.0,3.0,10.0,30.0,1.0,6.0,16.67,2.0,2.0,100.0,0,8,8,5.0,3.0,2.0,0,0,9.0
Colby-Sawyer,"Raymond,Delaney",8.0,1.0,2.0,50.0,1.0,2.0,50.0,2.0,2.0,100.0,0,0,0,0.0,0.0,0.0,1,2,5.0
Wentworth,Reagan Madonia,22.0,4.0,10.0,40.0,3.0,7.0,42.86,0.0,0.0,,0,1,1,1.0,2.0,0.0,2,0,11.0
Amherst,Reagan Pahl,13.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,0,3,3,1.0,0.0,0.0,2,2,0.0
Anna Maria,"Reddin,Marinique",35.0,7.0,19.0,36.84,1.0,3.0,33.33,2.0,2.0,100.0,2,2,4,5.0,5.0,1.0,7,0,17.0
Norwich,"Reeve,Morgan",0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0,0,0,0.0,0.0,0.0,0,0,0.0
Emmanuel (MA),"Reilly,Megan",28.0,4.0,12.0,33.33,0.0,0.0,,0.0,0.0,,6,2,8,2.0,2.0,0.0,2,0,8.0
WPI,"Reno,Shannon",32.0,3.0,6.0,50.0,2.0,5.0,40.0,0.0,0.0,,3,1,4,7.0,1.0,0.0,1,0,8.0
Regis (MA),"Reynolds, Maya",0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0,0,0,0.0,0.0,0.0,0,0,0.0
Salem St.,"Reynolds,Morgan",3.0,0.0,1.0,0.0,0.0,0.0,,1.0,2.0,50.0,1,2,3,0.0,1.0,0.0,1,1,1.0
Rivier,"Rioux,Taylor",13.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,1,1,2,1.0,1.0,1.0,1,0,0.0
Emmanuel (MA),"Robinson,Desiree",50.0,8.0,16.0,50.0,0.0,0.0,,2.0,4.0,50.0,2,4,6,2.0,6.0,0.0,6,6,18.0
St. Joseph's (ME),"Russell,Maddie",17.0,2.0,5.0,40.0,1.0,3.0,33.33,2.0,2.0,100.0,0,0,0,3.0,3.0,0.0,4,1,7.0
Fitchburg St.,Rylie Harlow,38.0,4.0,18.0,22.22,1.0,8.0,12.5,5.0,7.0,71.43,2,9,11,5.0,1.0,1.0,5,5,14.0
Anna Maria,"Salazar,Tiffany",28.0,1.0,8.0,12.5,1.0,5.0,20.0,0.0,0.0,,2,2,4,4.0,3.0,0.0,2,2,3.0
Wentworth,Samantha Jones,27.0,2.0,9.0,22.22,1.0,1.0,100.0,0.0,0.0,,0,1,1,6.0,2.0,0.0,6,2,5.0
Gordon,Sami Monighetti,15.0,1.0,4.0,25.0,1.0,4.0,25.0,0.0,0.0,,0,5,5,5.0,1.0,0.0,1,1,3.0
Mitchell,"Sanchez,Nanda",17.0,0.0,3.0,0.0,0.0,0.0,,0.0,0.0,,0,0,0,0.0,0.0,0.0,1,0,0.0
Salem St.,"Sarnacki,Maggy",2.0,0.0,0.0,,0.0,0.0,,1.0,2.0,50.0,0,1,1,0.0,0.0,0.0,0,1,1.0
Emmanuel (MA),"Saunders,Kalia",26.0,6.0,8.0,75.0,0.0,0.0,,2.0,4.0,50.0,4,6,10,6.0,6.0,0.0,0,2,14.0
Rivier,"Scharn,Alyssa",24.0,1.0,3.0,33.33,0.0,2.0,0.0,0.0,0.0,,1,1,2,4.0,0.0,0.0,2,2,2.0
Salem St.,"Schrock,Kylie",3.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,,0,1,1,0.0,0.0,0.0,0,1,0.0
Nazareth,"Schuey,Tessa",17.0,1.0,6.0,16.67,1.0,5.0,20.0,0.0,0.0,,0,3,3,2.0,0.0,0.0,3,1,3.0
Nazareth,"Schultz,Brayden",12.0,4.0,9.0,44.44,0.0,0.0,,2.0,2.0,100.0,2,1,3,1.0,1.0,1.0,2,4,10.0
Albertus Magnus,"Scott, Caitlyn",28.0,6.0,15.0,40.0,4.0,5.0,80.0,0.0,0.0,,1,8,9,4.0,1.0,0.0,3,1,16.0
Elms,"Scott, Ta'Niyah",1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0,0,0,0.0,0.0,0.0,0,0,0.0
New England Col.,"Scott,Isyss",12.0,0.0,1.0,0.0,0.0,0.0,,3.0,6.0,50.0,1,5,6,0.0,1.0,0.0,0,3,3.0
Elms,"Scott,Ta'Niyah",18.0,1.0,2.0,50.0,0.0,0.0,,1.0,2.0,50.0,0,4,4,0.0,0.0,0.0,0,2,3.0
Anna Maria,"Scott-Cummins,Sharayha",19.0,6.0,8.0,75.0,2.0,3.0,66.67,0.0,0.0,,1,0,1,3.0,2.0,0.0,1,2,14.0
Wellesley,"Serna, Yitzel",0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0,0,0,0.0,0.0,0.0,0,0,0.0
Wellesley,"Shane, Ava",30.0,5.0,7.0,71.43,0.0,0.0,,4.0,8.0,50.0,2,6,8,2.0,2.0,0.0,5,2,14.0
Elms,Shea Barron,82.0,6.0,21.0,28.57,2.0,8.0,25.0,2.0,4.0,50.0,3,7,10,5.0,2.0,0.0,1,13,16.0
Wellesley,"Sheahan, Bridget",10.0,0.0,1.0,0.0,0.0,0.0,,1.0,2.0,50.0,0,3,3,1.0,0.0,0.0,4,2,1.0
Emerson,"Silk,Jessie",40.0,6.0,12.0,50.0,1.0,6.0,16.67,7.0,8.0,87.5,1,6,7,3.0,2.0,0.0,1,1,20.0
Saint Joseph (CT),"Slisz,Maya",20.0,2.0,6.0,33.33,0.0,2.0,0.0,1.0,2.0,50.0,1,3,4,6.0,2.0,0.0,6,0,5.0
Emmanuel (MA),"Sloyan,Hattie",30.0,4.0,16.0,25.0,0.0,4.0,0.0,0.0,0.0,,2,2,4,4.0,4.0,0.0,4,4,8.0
VTSU Lyndon,"Small,Elise",7.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,,0,0,0,0.0,0.0,0.0,0,1,0.0
Elms,"Smith, Heaven",1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0,0,0,0.0,0.0,0.0,0,0,0.0
Rivier,"Smith,Hannah",4.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,,0,1,1,0.0,0.0,0.0,0,0,0.0
Elms,"Smith,Heaven",13.0,2.0,5.0,40.0,0.0,0.0,,0.0,0.0,,0,1,1,0.0,0.0,0.0,1,0,4.0
VTSU Lyndon,"Smith,Sage",39.0,8.0,16.0,50.0,4.0,10.0,40.0,1.0,2.0,50.0,3,2,5,1.0,3.0,0.0,8,3,21.0
Elms,Soliyana Asfaw,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,1,0,1,0.0,0.0,0.0,0,0,0.0
Elms,Sophia Andrade,53.0,1.0,11.0,9.09,0.0,5.0,0.0,0.0,0.0,,4,7,11,2.0,1.0,0.0,5,5,2.0
Westfield St.,Sophia DeAngelis,15.0,1.0,5.0,20.0,0.0,0.0,,3.0,4.0,75.0,0,1,1,2.0,0.0,0.0,1,1,5.0
Gordon,Sophie Peters,17.0,2.0,5.0,40.0,0.0,0.0,,0.0,0.0,,2,4,6,0.0,1.0,0.0,2,2,4.0
Saint Joseph (CT),"Soto,Emiah",26.0,2.0,9.0,22.22,0.0,0.0,,0.0,0.0,,0,1,1,2.0,2.0,0.0,4,1,4.0
St. Joseph's (ME),"Stapelfeld,Elisabeth",20.0,6.0,6.0,100.0,1.0,1.0,100.0,0.0,0.0,,1,0,1,3.0,1.0,0.0,3,1,13.0
Rivier,"Stawasz,Anna",3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0,1,1,0.0,0.0,0.0,3,0,0.0
Fitchburg St.,Stephanie Hart,31.0,6.0,6.0,100.0,0.0,0.0,,8.0,13.0,61.54,8,9,17,4.0,4.0,0.0,1,3,20.0
Elms,Stephanie Mildner,7.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,,0,1,1,0.0,0.0,0.0,0,1,0.0
Elms,"Stokes, Danajah",1.0,1.0,1.0,100.0,0.0,0.0,,0.0,0.0,,0,0,0,0.0,0.0,0.0,0,0,2.0
Elms,"Stokes,Danajah",1.0,0.0,0.0,,0.0,0.0,,2.0,2.0,100.0,0,1,1,0.0,0.0,0.0,0,0,2.0
WPI,"Stone,Megan",17.0,2.0,2.0,100.0,0.0,0.0,,2.0,2.0,100.0,2,3,5,1.0,1.0,0.0,2,1,6.0
Mitchell,"Streitmatter,Jordyn",32.0,3.0,10.0,30.0,0.0,2.0,0.0,0.0,0.0,,0,2,2,2.0,1.0,0.0,5,2,6.0
Regis (MA),"Striggles, Jordyn",32.0,4.0,12.0,33.33,0.0,6.0,0.0,0.0,0.0,,0,1,1,1.0,2.0,0.0,0,1,8.0
JWU (Providence),"Suero,Isabella",62.0,12.0,37.0,32.43,7.0,25.0,28.0,2.0,2.0,100.0,0,11,11,9.0,2.0,2.0,2,5,33.0
Lasell,"Sullivan-Sanders,Mia",33.0,3.0,11.0,27.27,0.0,0.0,,1.0,2.0,50.0,6,5,11,0.0,2.0,1.0,3,5,7.0
Amherst,Sylvia Liddle,26.0,1.0,7.0,14.29,0.0,3.0,0.0,2.0,2.0,100.0,2,2,4,4.0,1.0,0.0,2,0,4.0
Albertus Magnus,TEAM,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,2,4,6,0.0,0.0,0.0,0,0,0.0
Anna Maria,TEAM,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0,0,0,0.0,0.0,0.0,1,0,0.0
Colby-Sawyer,TEAM,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,1,0,1,0.0,0.0,0.0,0,0,0.0
Elms,TEAM,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,30,21,51,0.0,0.0,0.0,10,0,0.0
Emerson,TEAM,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0,2,2,0.0,0.0,0.0,0,0,0.0
Emmanuel (MA),TEAM,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,6,10,16,0.0,0.0,0.0,0,0,0.0
JWU (Providence),TEAM,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,2,7,9,0.0,0.0,0.0,0,0,0.0
Lasell,TEAM,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0,0,0,0.0,0.0,0.0,0,0,0.0
Mitchell,TEAM,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0,1,1,0.0,0.0,0.0,0,0,0.0
Nazareth,TEAM,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0,1,1,0.0,0.0,0.0,0,0,0.0
New England Col.,TEAM,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0,1,1,0.0,0.0,0.0,4,0,0.0
Norwich,TEAM,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0,0,0,0.0,0.0,0.0,1,0,0.0
Regis (MA),TEAM,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,2,2,4,0.0,0.0,0.0,1,0,0.0
Rivier,TEAM,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0,1,1,0.0,0.0,0.0,1,0,0.0
Saint Joseph (CT),TEAM,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,1,1,2,0.0,0.0,0.0,0,0,0.0
Salem St.,TEAM,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,1,3,4,0.0,0.0,0.0,0,0,0.0
St. Joseph's (ME),TEAM,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0,0,0,0.0,0.0,0.0,0,0,0.0
VTSU Lyndon,TEAM,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0,0,0,0.0,0.0,0.0,0,0,0.0
WPI,TEAM,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,1,2,3,0.0,0.0,0.0,1,0,0.0
Wellesley,TEAM,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0,0,0,0.0,0.0,0.0,0,0,0.0
Wentworth,TEAM,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,2,1,3,0.0,0.0,0.0,0,0,0.0
Elms,Ta'Niyah Scott,10.0,1.0,2.0,50.0,0.0,0.0,,0.0,2.0,0.0,2,2,4,0.0,0.0,0.0,3,1,2.0
Elms,Talia Uribe,118.0,9.0,29.0,31.03,1.0,3.0,33.33,10.0,15.0,66.67,15,10,25,2.0,5.0,0.0,22,15,29.0
Westfield St.,Tavi Williams,13.0,0.0,0.0,,0.0,0.0,,0.0,2.0,0.0,2,2,4,4.0,3.0,0.0,3,2,0.0
Wentworth,Taylor Garabedian,35.0,4.0,7.0,57.14,0.0,1.0,0.0,1.0,2.0,50.0,4,4,8,4.0,3.0,0.0,6,2,9.0
Mitchell,"Teague,Nâ€™Tai",32.0,8.0,15.0,53.33,3.0,5.0,60.0,3.0,4.0,75.0,1,9,10,0.0,2.0,1.0,4,4,22.0
Amherst,Team,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,3,2,5,0.0,0.0,0.0,0,0,0.0
Dean College,Team,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,2,5,7,0.0,0.0,0.0,0,0,0.0
Elms,Team,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,10,18,28,0.0,0.0,0.0,1,0,0.0
Fitchburg St.,Team,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,2,0,2,0.0,0.0,0.0,0,0,0.0
Gordon,Team,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,1,2,3,0.0,0.0,0.0,1,0,0.0
Westfield St.,Team,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,2,1,3,0.0,0.0,0.0,1,0,0.0
Wellesley,"Techarungchaikul, Proud",8.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0,1,1,1.0,0.0,0.0,1,0,0.0
Salem St.,"Teng,Abuk",25.0,4.0,10.0,40.0,0.0,0.0,,0.0,1.0,0.0,1,7,8,2.0,2.0,0.0,3,4,8.0
Norwich,"Thomas,Erika",9.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,,0,1,1,0.0,0.0,0.0,1,1,0.0
JWU (Providence),"Thompson,Kyla",7.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,1,0,1,0.0,1.0,1.0,1,3,0.0
Wentworth,Tita Rana,10.0,2.0,2.0,100.0,0.0,0.0,,0.0,0.0,,1,1,2,0.0,0.0,0.0,2,0,4.0
Westfield St.,Tori Dodge,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0,1,1,1.0,0.0,0.0,0,1,0.0
Dean College,Tori Viau,32.0,6.0,15.0,40.0,2.0,8.0,25.0,3.0,6.0,50.0,0,0,0,1.0,2.0,0.0,1,1,17.0
Elms,"Turco, Mary",78.0,12.0,38.0,31.58,0.0,0.0,,14.0,18.0,77.78,17,22,39,2.0,5.0,1.0,17,11,38.0
Elms,"Turco,Mary",448.0,69.0,156.0,44.23,0.0,1.0,0.0,38.0,70.0,54.29,51,116,167,22.0,23.0,22.0,65,65,176.0
Saint Joseph (CT),"Turcotte Briggs,Sequoia",16.0,2.0,7.0,28.57,0.0,2.0,0.0,0.0,0.0,,1,1,2,0.0,1.0,0.0,1,1,4.0
Elms,"Uribe, Talia",81.0,5.0,23.0,21.74,0.0,1.0,0.0,8.0,12.0,66.67,9,9,18,0.0,6.0,0.0,6,10,18.0
Elms,"Uribe,Talia",422.0,23.0,107.0,21.5,1.0,7.0,14.29,46.0,71.0,64.79,29,44,73,16.0,32.0,2.0,39,60,93.0
Saint Joseph (CT),"Verboven,Taylor",18.0,1.0,3.0,33.33,0.0,0.0,,0.0,0.0,,0,1,1,5.0,0.0,0.0,2,1,2.0
Elms,"Wasiewicz, Gabby",18.0,0.0,7.0,0.0,0.0,5.0,0.0,0.0,0.0,,0,3,3,0.0,0.0,0.0,2,1,0.0
Elms,"Wasiewicz,Gabby",143.0,19.0,70.0,27.14,15.0,61.0,24.59,4.0,7.0,57.14,5,13,18,2.0,9.0,1.0,12,13,57.0
VTSU Lyndon,"Webster,Riley",15.0,3.0,9.0,33.33,2.0,6.0,33.33,2.0,2.0,100.0,1,1,2,0.0,0.0,0.0,1,2,10.0
VTSU Lyndon,"Whitcomb,Kadienne",32.0,3.0,9.0,33.33,3.0,7.0,42.86,1.0,2.0,50.0,1,4,5,2.0,1.0,0.0,1,0,10.0
Albertus Magnus,"White, Diamond",25.0,4.0,11.0,36.36,1.0,3.0,33.33,1.0,3.0,33.33,0,0,0,3.0,1.0,0.0,0,1,10.0
Emmanuel (MA),"Whitehead,Jordan",32.0,6.0,20.0,30.0,2.0,12.0,16.67,4.0,6.0,66.67,0,0,0,0.0,8.0,0.0,4,4,18.0
Emmanuel (MA),"Widito,Zahara",22.0,2.0,6.0,33.33,0.0,0.0,,2.0,4.0,50.0,2,8,10,0.0,4.0,2.0,2,6,6.0
Colby-Sawyer,"Wilkins,Hayden",33.0,2.0,13.0,15.38,0.0,4.0,0.0,5.0,5.0,100.0,1,3,4,3.0,4.0,0.0,3,1,9.0
Albertus Magnus,"Williams, Jennae",3.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,0,0,0,0.0,0.0,0.0,1,1,0.0
Lasell,"Williamson,Daeserae",22.0,1.0,7.0,14.29,0.0,1.0,0.0,4.0,4.0,100.0,3,4,7,2.0,1.0,0.0,3,5,6.0
Wellesley,"Windross, Caitlin",14.0,2.0,5.0,40.0,0.0,0.0,,0.0,0.0,,1,1,2,2.0,3.0,0.0,1,3,4.0
Gordon,Woynitu Ciccarello,30.0,4.0,13.0,30.77,2.0,8.0,25.0,4.0,4.0,100.0,1,5,6,2.0,4.0,0.0,1,2,14.0
Saint Joseph (CT),"Yorke,Nevaeh",19.0,1.0,3.0,33.33,0.0,0.0,,0.0,0.0,,0,3,3,1.0,1.0,0.0,1,1,2.0
Salem St.,"Zaiter,Liz",21.0,5.0,12.0,41.67,0.0,0.0,,4.0,9.0,44.44,5,4,9,0.0,0.0,2.0,2,2,14.0
Regis (MA),"Zancan, Madi",34.0,10.0,20.0,50.0,0.0,1.0,0.0,4.0,5.0,80.0,4,12,16,3.0,1.0,3.0,2,1,24.0
Albertus Magnus,"Zdru, Amanda",20.0,4.0,8.0,50.0,2.0,5.0,40.0,0.0,0.0,,0,2,2,2.0,0.0,0.0,2,1,10.0
WPI,"Zembrzuski,Hailey",2.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,1,0,1,1.0,0.0,0.0,0,0,0.0
Norwich,"Zimmerman,Jessie",20.0,0.0,3.0,0.0,0.0,0.0,,0.0,0.0,,1,5,6,3.0,0.0,2.0,0,2,0.0
